iter	Logloss
0	0.6722218005
1	0.6534768931
2	0.6360168076
3	0.6199451447
4	0.6050604312
5	0.5912688319
6	0.5788366699
7	0.5671872203
8	0.556826992
9	0.5469335047
10	0.5380682627
11	0.5297505824
12	0.5221425311
13	0.514864165
14	0.5082278315
15	0.5023648326
16	0.4967444102
17	0.4918109449
18	0.4870110257
19	0.4827213669
20	0.4786495972
21	0.4750146357
22	0.4717309825
23	0.4685150146
24	0.4659501394
25	0.4632933362
26	0.4609862709
27	0.4589742215
28	0.4568279139
29	0.4546776072
30	0.4530077553
31	0.4511086655
32	0.4495212491
33	0.447924099
34	0.4464155197
35	0.4449595197
36	0.4436908023
37	0.4422929764
38	0.4409949239
39	0.4399548976
40	0.4389405568
41	0.4379799938
42	0.4371946494
43	0.4363298416
44	0.4354971409
45	0.4348176289
46	0.4340882619
47	0.4334661071
48	0.4328363641
49	0.4323189163
50	0.431717631
51	0.4310693582
52	0.4304970328
53	0.4300694847
54	0.429654487
55	0.4291705004
56	0.4288315773
57	0.4283418624
58	0.4279533736
59	0.427605861
60	0.4272183323
61	0.4268426323
62	0.4266182899
63	0.4263435841
64	0.4260397339
65	0.4256818962
66	0.4253165468
67	0.4249888547
68	0.424655447
69	0.4243623193
70	0.4241018486
71	0.4238741652
72	0.4235122903
73	0.4232576402
74	0.4230918121
75	0.4229197152
76	0.4226386452
77	0.4224080276
78	0.4222034709
79	0.4219580682
80	0.4217669837
81	0.4216033649
82	0.4214690399
83	0.4211768468
84	0.4208537483
85	0.4207951419
86	0.4206522592
87	0.4204603068
88	0.4202528763
89	0.4200485992
90	0.4199065653
91	0.4196991348
92	0.4195874914
93	0.4194061184
94	0.4192365487
95	0.4190486368
96	0.4189081796
97	0.4187261264
98	0.4185598914
99	0.4184329255
100	0.4182316717
101	0.4181063302
102	0.417909886
103	0.4177501106
104	0.4176160717
105	0.4174560229
106	0.4173800659
107	0.4172227764
108	0.4170768356
109	0.4168787543
110	0.4167325211
111	0.4165804768
112	0.4165026601
113	0.4163667933
114	0.4162395255
115	0.4160552247
116	0.4159764417
117	0.4158247217
118	0.4155911541
119	0.4155260277
120	0.4154599476
121	0.4152485212
122	0.4151473618
123	0.4150350475
124	0.4149188201
125	0.4148509216
126	0.4146891816
127	0.4145314089
128	0.4143406932
129	0.4142310365
130	0.4140677198
131	0.4139703051
132	0.4138484764
133	0.4137677479
134	0.4135939217
135	0.4135151672
136	0.4133870316
137	0.4133075809
138	0.4132056427
139	0.413032198
140	0.4128872744
141	0.4127226448
142	0.4125607745
143	0.4124434535
144	0.412343324
145	0.4122731686
146	0.4122124195
147	0.412082475
148	0.4120026302
149	0.4118871911
150	0.4117672793
151	0.4116615327
152	0.4115187009
153	0.4113793596
154	0.4112392203
155	0.4111140378
156	0.4110002359
157	0.4108877913
158	0.4108034293
159	0.4107354323
160	0.4106898371
161	0.4105501334
162	0.4104304123
163	0.4103165277
164	0.4101084868
165	0.4100168991
166	0.4099729093
167	0.4098557536
168	0.4097575251
169	0.4096895917
170	0.4095800114
171	0.4094648679
172	0.4093056138
173	0.4092013995
174	0.4091076056
175	0.4090042718
176	0.4088909181
177	0.4087572098
178	0.4086404514
179	0.4085900052
180	0.408458875
181	0.4084209061
182	0.4083132108
183	0.4081690343
184	0.4080275631
185	0.4079194387
186	0.4077691269
187	0.4076451619
188	0.4075291793
189	0.4074372578
190	0.4073076502
191	0.407147665
192	0.4070698675
193	0.4070063814
194	0.4069032129
195	0.4068483734
196	0.4067801666
197	0.4066540273
198	0.4065638383
199	0.4064981143
200	0.4064130306
201	0.4062899144
202	0.4061612638
203	0.4060844962
204	0.405931282
205	0.4058756034
206	0.4057922427
207	0.4056218942
208	0.405505085
209	0.4053721491
210	0.4052542496
211	0.4051498858
212	0.405074784
213	0.4049500879
214	0.4047641913
215	0.4046517022
216	0.4045914714
217	0.404487435
218	0.4044215329
219	0.404355615
220	0.4042563375
221	0.4041907914
222	0.4040796916
223	0.4039625295
224	0.4039235942
225	0.4038289229
226	0.4037574927
227	0.4036606026
